labels,timestamp,value
{},1712632954,4.46
{},1712632959,4.48
{},1712632964,4.680000000000001
{},1712632969,4.680000000000001
{},1712632974,7.864325
{},1712632979,9.307456666666665
{},1712632984,14.235877499999999
{},1712632989,16.765528333333332
{},1712632994,35.66539083333333
{},1712632999,46.236353055555554
{},1712633004,97.15193555555555
{},1712633009,112.12563074158517
{},1712633014,148.3765890655678
{},1712633019,168.7058250833333
{},1712633024,224.78528058333336
{},1712633029,250.34683116666662
{},1712633034,303.89580766666666
{},1712633039,335.027732
{},1712633044,379.1090899999999
{},1712633049,401.35999999999996
{},1712633054,430.56
{},1712633059,437.6648195855669
{},1712633064,486.20481958556684
{},1712633069,491.28
{},1712633074,559.16
{},1712633079,575.4200000000001
{},1712633084,681.6600000000001
{},1712633089,698.4000000000001
{},1712633094,855.32
{},1712633099,879.6999999999999
{},1712633104,984.66
{},1712633109,997
{},1712633114,1090.8400000000001
{},1712633119,1106.3200000000002
{},1712633124,1180.6000000000001
{},1712633129,1184.9800000000002
{},1712633134,1217.7600000000002
{},1712633139,1225.0000000000002
{},1712633144,1242.32
{},1712633149,1240.54
{},1712633154,1261.3200000000002
{},1712633159,1269.24
{},1712633164,1325.2798960055998
{},1712633169,1328.3398960056
{},1712633174,1351.3000000000002
{},1712633179,1361.06
{},1712633184,1433.08
{},1712633189,1435.8
{},1712633194,1356.44
{},1712633199,1351.42
{},1712633204,1436.0800000000002
{},1712633209,1449.6600000000003
{},1712633214,1508.1401040056005
{},1712633219,1519.3601040056003
{},1712633224,1585.1399999999999
{},1712633229,1586.66
{},1712633234,1600.5600000000002
{},1712633239,1611.5000000000002
{},1712633244,1778.72
{},1712633249,1798.8600000000001
{},1712633254,1821.8600000000001
{},1712633259,1822.26
{},1712633264,1837.72
{},1712633269,1841.8799999999999
{},1712633274,1852.1999999999998
{},1712633279,1854.1399999999999
{},1712633284,1842.3600000000001
{},1712633289,1838.0600000000002
{},1712633294,1800.7200000000003
{},1712633299,1793.7600000000002
{},1712633304,1768.3200000000002
{},1712633309,1767.0000000000002
{},1712633314,1614.2800000000002
{},1712633319,1584.1800000000003
{},1712633324,1508.72
{},1712633329,1499.68
{},1712633334,1435.5400000000002
{},1712633339,1427.0800000000002
{},1712633344,1383.84
{},1712633349,1379.82
{},1712633354,1345.2599999999998
{},1712633359,1338.3
{},1712633364,1428.7600000000002
{},1712633369,1447.84
{},1712633374,1488.2
{},1712633379,1494.5800000000002
{},1712633384,1544.96
{},1712633389,1550.6999999999998
{},1712633394,1570.1599999999994
{},1712633399,1568.4199999999996
{},1712633404,1494.6999999999998
{},1712633409,1478.6799999999998
{},1712633414,1406.78
{},1712633419,1399.8
{},1712633424,1332.2
{},1712633429,1323.02
{},1712633434,1245.76
{},1712633439,1233.16
{},1712633444,1184.7199999999998
{},1712633449,1186.2599999999998
{},1712633454,1255.68
{},1712633459,1262.94
{},1712633464,1303.22
{},1712633469,1314.08
{},1712633474,1367.6999999999998
{},1712633479,1373.92
{},1712633484,1461.14
{},1712633489,1475.36
{},1712633494,1534.7400000000002
{},1712633499,1537.3
{},1712633504,1559.1399999999996
{},1712633509,1570.3599999999997
{},1712633514,1614.5
{},1712633519,1613.8
{},1712633524,1625.6
{},1712633529,1627.3600000000001
{},1712633534,1600.1400000000003
{},1712633539,1595.18
{},1712633544,1578.7
{},1712633549,1578.52
{},1712633554,1576.2400000000002
{},1712633559,1576.0400000000002
{},1712633564,1580.64
{},1712633569,1580.26
{},1712633574,1579.98
{},1712633579,1577.7
{},1712633584,1570.64
{},1712633589,1572.44
{},1712633594,1590.54
