labels,timestamp,value
{},1717123036,19.699999999999996
{},1717123041,19.699999999999996
{},1717123046,20.179999999999996
{},1717123051,20.179999999999996
{},1717123056,20.659999999999997
{},1717123061,20.90829333333333
{},1717123066,22.490129999999994
{},1717123071,25.59916999999999
{},1717123076,32.54015666666666
{},1717123081,38.54071277777777
{},1717123086,59.15736305555554
{},1717123091,78.04227388888887
{},1717123096,117.94483927777783
{},1717123101,149.6848811111111
{},1717123106,190.54309566666672
{},1717123111,230.6839224444444
{},1717123116,275.8864927777777
{},1717123121,323.8685673333334
{},1717123126,378.9852156666665
{},1717123131,428.7651210000001
{},1717123136,483.7509486666667
{},1717123141,517.6383743333332
{},1717123146,550.3733629999999
{},1717123151,567.9277330000001
{},1717123156,605.7806986666667
{},1717123161,630.6642733333331
{},1717123166,669.3942036666665
{},1717123171,713.8046373333331
{},1717123176,771.1607033333333
{},1717123181,811.830746666667
{},1717123186,846.1895060000003
{},1717123191,900.1173258802976
{},1717123196,914.2874758802977
{},1717123201,994.7269833333335
{},1717123206,1066.7307413358928
{},1717123211,1132.6707413358927
{},1717123216,1220.7018821212064
{},1717123221,1292.772539959012
{},1717123226,1353.853366
{},1717123231,1336.257532666667
{},1717123236,1417.1675226666675
{},1717123241,1422.420117629346
{},1717123246,1515.121964962679
{},1717123251,1488.0446829999996
{},1717123256,1436.5485961136715
{},1717123261,1406.4125646613631
{},1717123266,1312.7200252032396
{},1717123271,1254.211042217312
{},1717123276,1177.7224037499998
{},1717123281,1239.0719739999995
{},1717123286,1167.1090302222226
{},1717123291,1195.8114810000002
{},1717123296,1141.5555453750908
{},1717123301,1157.731542708424
{},1717123306,1185.5237260000001
{},1717123311,1200.6264969529905
{},1717123316,1204.1069778469987
{},1717123321,1255.688745005119
{},1717123326,1328.1523556666657
{},1717123331,1302.2286439999996
{},1717123336,1341.5328626666665
{},1717123341,1294.0591373333334
{},1717123346,1328.0044199092213
{},1717123351,1344.909419909221
{},1717123356,1396.0585840000003
{},1717123361,1405.726194666667
{},1717123366,1535.0473306724273
{},1717123371,1542.4722653390943
{},1717123376,1569.3697346666672
{},1717123381,1629.2147519999996
{},1717123386,1704.2347213333326
{},1717123391,1747.0199999999998
{},1717123396,1818.110470666666
{},1717123401,1840.5799999999992
{},1717123406,1877.2799999999997
{},1717123411,1916.0000000000005
{},1717123416,1908.2800160006407
{},1717123421,1896.08001600064
{},1717123426,1902.8199999999995
{},1717123431,1887.6599999999999
{},1717123436,1790.5199999999998
{},1717123441,1829.7399999999993
{},1717123446,1748.06
{},1717123451,1693.4800000000002
{},1717123456,1724.5799360051192
{},1717123461,1709.179936005119
{},1717123466,1681.3600000000001
{},1717123471,1713.5800000000004
{},1717123476,1725.1000000000001
{},1717123481,1747.46
{},1717123486,1886.9399999999998
{},1717123491,1890.7599999999998
{},1717123496,2043.8399999999992
{},1717123501,2109.999999999999
{},1717123506,2119.6600640051206
{},1717123511,2125.4800640051208
{},1717123516,2184.8200000000006
{},1717123521,2189.1399999999994
{},1717123526,2251.600000000001
{},1717123531,2274.0400000000004
{},1717123536,2239.7199999999993
{},1717123541,2225.64
{},1717123546,2185.9000000000005
{},1717123551,2168.46
{},1717123556,2153.6400000000003
{},1717123561,2180.7799999999993
{},1717123566,2248.4599999999996
{},1717123571,2155.3399999999992
{},1717123576,2145.3599520019197
{},1717123581,2066.57995200192
{},1717123586,2141.94
{},1717123591,2150.7588976881852
{},1717123596,2206.4788976881846
{},1717123601,2204.1400000000003
{},1717123606,2300.0200000000004
{},1717123611,2266.7898506666675
{},1717123616,2289.8800000000006
{},1717123621,2350.5600000000004
{},1717123626,2390.9800480019207
{},1717123631,2434.42004800192
{},1717123636,2438.52
{},1717123641,2444.3819089527165
{},1717123646,2434.9619089527164
{},1717123651,2462.3199999999997
{},1717123656,2306.4000000000005
{},1717123661,2310.6000000000004
{},1717123666,2276.399999999999
{},1717123671,2302.32
{},1717123676,2172.359999999999
{},1717123681,2182.7199999999993
{},1717123686,2136.2600000000007
{},1717123691,2088.6600000000003
{},1717123696,2057.3
{},1717123701,2112.94
{},1717123706,2246.2000000000007
{},1717123711,2347.040000000001
{},1717123716,2358.800000000001
{},1717123721,2430.0200000000004
{},1717123726,2564.8399999999997
{},1717123731,2677.1799999999985
{},1717123736,2720.0399999999995
{},1717123741,2859.140000000002
{},1717123746,2878.8400000000006
{},1717123751,2933.98
{},1717123756,2874.3599999999988
{},1717123761,2914.019999999998
{},1717123766,2856.679999999999
{},1717123771,2884.680000000001
{},1717123776,2752.52
{},1717123781,2771.18
{},1717123786,2636.300000000001
{},1717123791,2611.7599999999993
{},1717123796,2447.4799999999996
{},1717123801,2464.22
{},1717123806,2483.36
{},1717123811,2409.3799999999997
{},1717123816,2408.8400000000006
{},1717123821,2324.46
{},1717123826,2435.5999999999995
{},1717123831,2387.12
{},1717123836,2511.9199999999996
{},1717123841,2517.9799999999987
{},1717123846,2692.08
{},1717123851,2652.500000000002
{},1717123856,2677.6400000000003
{},1717123861,2714.2399999999993
{},1717123866,2761.82
{},1717123871,2826.92
{},1717123876,2843.2400000000002
{},1717123881,2846.94
{},1717123886,2870.9599999999996
{},1717123891,2886.5000000000005
