labels,timestamp,value
{},1712883244,10.125077083333332
{},1712883249,10.28
{},1712883254,10.480000000000002
{},1712883259,10.400064005120411
{},1712883264,10.38006400512041
{},1712883269,10.559744005120411
{},1712883274,11.203984005120411
{},1712883279,14.213827038039758
{},1712883284,17.69457538736669
{},1712883289,20.04199138888889
{},1712883294,22.6330975
{},1712883299,24.9064338888889
{},1712883304,35.34184855555555
{},1712883309,47.55216041666667
{},1712883314,65.58330533333333
{},1712883319,83.30526113888891
{},1712883324,106.32116255555555
{},1712883329,123.57547597666479
{},1712883334,150.60559789124463
{},1712883339,169.43606133333333
{},1712883344,197.16023266666664
{},1712883349,220.47441533333333
{},1712883354,247.2972686666667
{},1712883359,262.68000000000006
{},1712883364,281.08
{},1712883369,285.515748
{},1712883374,300.66
{},1712883379,307.44
{},1712883384,314.55845733333337
{},1712883389,318.24
{},1712883394,322.53588533333334
{},1712883399,325.06
{},1712883404,330.58502133333326
{},1712883409,335.46000000000004
{},1712883414,347.6607213333334
{},1712883419,356.12
{},1712883424,364.92
{},1712883429,374.64000000000004
{},1712883434,386.92
{},1712883439,411.30000000000007
{},1712883444,431.61999999999995
{},1712883449,466.78
{},1712883454,493.15999999999985
{},1712883459,537.9000000000001
{},1712883464,586.0400000000001
{},1712883469,630.1
{},1712883474,702.2800000000001
{},1712883479,721.1999999999999
{},1712883484,773.74
{},1712883489,810.3000000000003
{},1712883494,867.8
{},1712883499,876.7799999999999
{},1712883504,924.8727500000002
{},1712883509,921.7200000000001
{},1712883514,947.6685500000002
{},1712883519,941.2918833333334
{},1712883524,934.9964500000001
{},1712883529,946.18645
{},1712883534,1000.31645
{},1712883539,1004.6664500000003
{},1712883544,1038.0364500000003
{},1712883549,1057.22645
{},1712883554,1094.1199999999997
{},1712883559,1113.5199999999998
{},1712883564,1151.2199999999998
{},1712883569,1166.4599999999998
{},1712883574,1218.9599999999998
{},1712883579,1273.9199999999996
{},1712883584,1305.4599999999994
{},1712883589,1343.2999999999997
{},1712883594,1358.7799999999997
{},1712883599,1373.9199999999998
{},1712883604,1383.96
{},1712883609,1395.64
{},1712883614,1418.0200000000002
{},1712883619,1414.6800000000003
{},1712883624,1414.08
{},1712883629,1404.1200000000001
{},1712883634,1394.2800000000002
{},1712883639,1391.5600000000002
{},1712883644,1409.38
{},1712883649,1425.5600000000004
{},1712883654,1440.3200000000002
{},1712883659,1456.6000000000001
{},1712883664,1446.5399999999997
{},1712883669,1487.0599999999997
{},1712883674,1511.54
{},1712883679,1526.8200000000004
{},1712883684,1547.1200000000006
{},1712883689,1549.84
{},1712883694,1548.1200000000001
{},1712883699,1546.46
{},1712883704,1557.6999999999998
{},1712883709,1555.3
{},1712883714,1576.7000000000005
{},1712883719,1568.24
{},1712883724,1567.3000000000002
{},1712883729,1560.2400000000002
{},1712883734,1543.8599999999997
{},1712883739,1554.3600000000001
{},1712883744,1556.7200000000003
{},1712883749,1570.3
{},1712883754,1524.84
{},1712883759,1532.7600000000002
{},1712883764,1516.7000000000003
{},1712883769,1535.51997600144
{},1712883774,1528.5199760014395
{},1712883779,1548.98
{},1712883784,1570.6800000000003
{},1712883789,1573.3800000000003
{},1712883794,1594.6
{},1712883799,1597.5600000000004
{},1712883804,1632.4600000000005
{},1712883809,1647.08
{},1712883814,1642.2999999999997
{},1712883819,1627.56002400144
{},1712883824,1614.6800240014404
{},1712883829,1581.5800000000004
{},1712883834,1564.2800000000002
{},1712883839,1528
{},1712883844,1510.2599999999998
{},1712883849,1481.2599999999998
{},1712883854,1494.52
{},1712883859,1482.72
{},1712883864,1503.64
{},1712883869,1524.1
{},1712883874,1572.6999999999998
{},1712883879,1612.3200000000002
{},1712883884,1631.8400000000001
{},1712883889,1606.32
{},1712883894,1620.1600000000005
{},1712883899,1653.6400000000003
{},1712883904,1670.6999999999998
{},1712883909,1665.3199999999997
{},1712883914,1660.3199999999997
{},1712883919,1638.5799999999995
{},1712883924,1640.24
{},1712883929,1643.2200000000003
{},1712883934,1640.6200000000001
{},1712883939,1718.5800000000002
{},1712883944,1715.8000000000002
{},1712883949,1727.3200000000002
{},1712883954,1727.3799999999999
{},1712883959,1751.44
{},1712883964,1763.9800000000005
{},1712883969,1771.5200000000002
{},1712883974,1743.8
{},1712883979,1747.18
{},1712883984,1753.9
{},1712883989,1762.72
{},1712883994,1786.1199999999997
{},1712883999,1799.2599999999995
{},1712884004,1807.14
{},1712884009,1825.6600000000003
{},1712884014,1843.62
{},1712884019,1881.22
{},1712884024,1880.0199999999998
{},1712884029,1883.3600000000001
{},1712884034,1880.6000000000004
{},1712884039,1885.5600000000002
{},1712884044,1884.2000000000003
{},1712884049,1875.2400000000005
{},1712884054,1878.18
{},1712884059,1863.8200000000002
{},1712884064,1855.0200000000002
{},1712884069,1846.8600000000001
{},1712884074,1869.6000000000001
{},1712884079,1867.7
{},1712884084,1879.34
{},1712884089,1856.4399999999996
{},1712884094,1835.2799999999997
{},1712884099,1750.92
{},1712884104,1610.7800000000002
{},1712884109,1511.36
{},1712884114,1459.0600000000002
{},1712884119,1413.6400000000003
{},1712884124,1379.4399999999998
{},1712884129,1303.66
{},1712884134,1091.4199999999998
{},1712884139,946.98
{},1712884144,746.0000000000001
{},1712884149,678.5200000000001
{},1712884154,596.42
{},1712884159,548.5600000000002
{},1712884164,388.1600000000001
{},1712884169,282.4958466666667
{},1712884174,108.29958500000002
{},1712884179,36.69580416666666
{},1712884184,34.050000833333335
{},1712884189,37.563468333333326
{},1712884194,44.47181166666665
{},1712884199,48.343564027777774
{},1712884204,55.584919166666666
{},1712884209,59.03454624999999
{},1712884214,64.16543266666666
{},1712884219,67.00031999999999
{},1712884224,69.53999999999999
{},1712884229,68.98
{},1712884234,69.22000000000001
{},1712884239,68.40000000000002
{},1712884244,67.6
{},1712884249,66.48
{},1712884254,65.12
{},1712884259,64.82000000000001
{},1712884264,67.16
{},1712884269,66.78000000000002
{},1712884274,66.98000000000002
{},1712884279,66.76
{},1712884284,67.94000000000001
{},1712884289,68.64
{},1712884294,69.00000000000001
{},1712884299,70.68
{},1712884304,70.68
{},1712884309,71.82
{},1712884314,69.12
{},1712884319,70.7
{},1712884324,69.11999999999999
{},1712884329,69.92000000000002
{},1712884334,68.22
{},1712884339,69
{},1712884344,67.91999999999999
{},1712884349,67.86
{},1712884354,68.24000000000001
{},1712884359,67.82
{},1712884364,68.24
{},1712884369,67.46
{},1712884374,67.28
{},1712884379,67.27999999999999
{},1712884384,67.53999999999999
{},1712884389,67.92
{},1712884394,68.44
{},1712884399,68.10000000000001
{},1712884404,66.46000000000001
{},1712884409,66.24000000000002
{},1712884414,66.28
{},1712884419,65.38
{},1712884424,66.34000000000002
{},1712884429,65.68
{},1712884434,64.66000000000001
{},1712884439,63.660000000000004
{},1712884444,64.28
