labels,timestamp,value
{},1712658058,3.72
{},1712658063,3.82
{},1712658068,4.06
{},1712658073,4.28
{},1712658078,4.5200000000000005
{},1712658083,12.036098333333333
{},1712658088,19.25862333333333
{},1712658093,57.33762
{},1712658098,73.25999166666665
{},1712658103,120.46208611111113
{},1712658108,141.9150566666667
{},1712658113,196.34383791666664
{},1712658118,222.95990458333333
{},1712658123,281.7963216666667
{},1712658128,311.935465
{},1712658133,374.36361666666664
{},1712658138,415.5773353333333
{},1712658143,517.1398015407608
{},1712658148,544.1789052653642
{},1712658153,670.7599840006401
{},1712658158,691.48
{},1712658163,821.48
{},1712658168,840.02
{},1712658173,969.12
{},1712658178,984.34
{},1712658183,1039.84
{},1712658188,1047.3
{},1712658193,1112.3822177330642
{},1712658198,1119.782233733704
{},1712658203,1164.94001600064
{},1712658208,1170.0400000000002
{},1712658213,1213.58
{},1712658218,1219.4599999999998
{},1712658223,1240.4199999999998
{},1712658228,1249.3
{},1712658233,1356.3000000000002
{},1712658238,1369.6200000000001
{},1712658243,1412.96
{},1712658248,1412.84
{},1712658253,1399.8
{},1712658258,1399.5000000000002
{},1712658263,1401.4199999999998
{},1712658268,1403.62
{},1712658273,1431.06
{},1712658278,1432.54
{},1712658283,1424
{},1712658288,1421.5800000000002
{},1712658293,1418.5400000000002
{},1712658298,1423.66
{},1712658303,1393.8200000000002
{},1712658308,1370.8800000000003
{},1712658313,1250.84
{},1712658318,1240.84
{},1712658323,1168.52
{},1712658328,1161.04
{},1712658333,1138.18
{},1712658338,1134.7600000000002
{},1712658343,1102.6399999999999
{},1712658348,1099.08
{},1712658353,1149.1399999999999
{},1712658358,1170.9199999999998
{},1712658363,1268.9599999999998
{},1712658368,1272.62
{},1712658373,1287.0599520028798
{},1712658378,1286.1199520028797
{},1712658383,1268.24
{},1712658388,1268.64
{},1712658393,1286.9599999999998
{},1712658398,1285.8999999999999
{},1712658403,1263.8600000000001
{},1712658408,1262.7600000000002
{},1712658413,1266.66
{},1712658418,1265.5702361858291
{},1712658423,1207.8302841887091
{},1712658428,1198.6400480028803
{},1712658433,1184.1000000000001
{},1712658438,1184.6400000000003
{},1712658443,1187.7400000000002
{},1712658448,1190.94
{},1712658453,1224.3999999999999
{},1712658458,1228.6999999999998
{},1712658463,1238.28
{},1712658468,1243.370000200012
{},1712658473,1332.950000200012
{},1712658478,1346.1
{},1712658483,1395.8200000000002
{},1712658488,1395.36
{},1712658493,1366.28
{},1712658498,1362.48
{},1712658503,1337.76
{},1712658508,1334.7930962761488
{},1712658513,1334.913096276149
{},1712658518,1337.4800000000002
{},1712658523,1368.1000000000001
{},1712658528,1375.2399040076793
{},1712658533,1412.6799040076794
{},1712658538,1419.52
{},1712658543,1400.817135601016
{},1712658548,1382.5571356010162
{},1712658553,1309.6400000000003
{},1712658558,1308.286781071243
{},1712658563,1294.7467810712428
{},1712658568,1290.72
{},1712658573,1254
{},1712658578,1243.4400960076805
{},1712658583,1168.3400960076806
{},1712658588,1162.24
{},1712658593,1212.2228732022484
{},1712658598,1226.3828732022482
{},1712658603,1222.54
{},1712658608,1206.96
{},1712658613,1114.72
{},1712658618,1104.94
{},1712658623,1036.7
{},1712658628,1030.86
{},1712658633,1003.0600000000001
{},1712658638,998.4800000000001
{},1712658643,968.1200000000001
{},1712658648,972.2200000000001
{},1712658653,1045.84
{},1712658658,1060.4599999999998
{},1712658663,1099.74
{},1712658668,1093.26
{},1712658673,1107.52
{},1712658678,1120.427810575154
{},1712658683,1200.807810575154
{},1712658688,1209.2199999999998
{},1712658693,1255.32
{},1712658698,1261.5800000000002
{},1712658703,1308.7800000000002
{},1712658708,1317.6000000000001
{},1712658713,1420.38
{},1712658718,1443.0400000000002
{},1712658723,1537.0800000000002
{},1712658728,1536.5758412673015
{},1712658733,1530.1158412673017
{},1712658738,1530.42
{},1712658743,1528.24
{},1712658748,1529.3200000000002
{},1712658753,1532.82
{},1712658758,1531.92
{},1712658763,1524.2436209827413
{},1712658768,1524.463620982741
{},1712658773,1528.04
{},1712658778,1531.7200000000003
{},1712658783,1553.0800000000004
{},1712658788,1551.4800000000005
{},1712658793,1542.8800000000003
{},1712658798,1540.2400000000002
{},1712658803,1512.5
{},1712658808,1509.1799999999998
{},1712658813,1496.634999699982
{},1712658818,1494.8349996999823
{},1712658823,1488.58
{},1712658828,1488.78
{},1712658833,1485.74
{},1712658838,1488.68
{},1712658843,1506.44
{},1712658848,1502.2
{},1712658853,1465.1200000000001
{},1712658858,1461.54
{},1712658863,1436.5599999999997
{},1712658868,1435.2599999999998
{},1712658873,1422.1799999999998
{},1712658878,1417.96
{},1712658883,1404.92
{},1712658888,1402.84
{},1712658893,1383.5600000000002
{},1712658898,1384.1800000000003
{},1712658903,1348.42
{},1712658908,1332.46
{},1712658913,1253.06
{},1712658918,1245.1599999999999
{},1712658923,1210.88
{},1712658928,1208.3999280043197
{},1712658933,1185.0199280043198
{},1712658938,1181.54
{},1712658943,1145.48
{},1712658948,1142.4199999999998
{},1712658953,1191.8000000000002
{},1712658958,1206.8200000000002
{},1712658963,1269.62
{},1712658968,1267.4799999999998
{},1712658973,1230.3799999999999
{},1712658978,1225.9800720043204
{},1712658983,1201.9600720043202
{},1712658988,1202.7
{},1712658993,1231.6200000000001
{},1712658998,1233.0336346546137
{},1712659003,1224.6536346546138
{},1712659008,1226.06
{},1712659013,1238.46
{},1712659018,1240.9600000000003
{},1712659023,1208.2200000000003
{},1712659028,1199.42
{},1712659033,1190.6600000000003
{},1712659038,1187.9599280043199
{},1712659043,1167.15992800432
{},1712659048,1170.206183447338
{},1712659053,1204.1061834473378
{},1712659058,1206.8000000000002
{},1712659063,1222.1399999999999
{},1712659068,1228.8
{},1712659073,1324.74
{},1712659078,1341.22
{},1712659083,1404.4400000000003
{},1712659088,1407.4400720043204
{},1712659093,1407.0600720043203
{},1712659098,1404.091127819549
{},1712659103,1388.091127819549
{},1712659108,1388.9800000000002
{},1712659113,1385.0772569645824
{},1712659118,1379.5572569645824
{},1712659123,1352.4998720204767
{},1712659128,1351.8398720204768
{},1712659133,1349.26
{},1712659138,1348.36
{},1712659143,1291.74
{},1712659148,1277.2455624899983
{},1712659153,1212.8199436766322
{},1712659158,1207.294381186634
{},1712659163,1182.4631524929634
{},1712659168,1182.6231524929635
{},1712659173,1188.9801280204833
{},1712659178,1187.9786522270942
{},1712659183,1171.4985242066111
{},1712659188,1172.1799280043197
{},1712659193,1243.4799280043196
{},1712659198,1260.68
{},1712659203,1330.2461692636969
{},1712659208,1328.426169263697
{},1712659213,1295.9048674920496
{},1712659218,1293.4648674920497
{},1712659223,1277.9200000000003
{},1712659228,1276.28315364151
{},1712659233,1270.96315364151
{},1712659238,1272.4000000000003
{},1712659243,1287.3799999999999
{},1712659248,1289.3
{},1712659253,1298.737421354719
{},1712659258,1299.737421354719
